ID,target,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19
781,-704.6,1398.66,0.0,1328.0,433.77,-721.1,420.85,2.17,13,29.0,6,2.0,17.8,402.39,-243.33,0.0,-0.4,A4,696.08,No,B1
782,1334.4,1356.75,0.0,1492.0,420.63,-672.94,415.21,0.23,,,2,2.3,31.7,381.64,-37.31,0.0,22.9,A3,576.4,C1,B1
783,-349.6,1412.3,0.0,2000.0,,,528.45,0.0,3,57.0,2,1.6,16.5,463.39,,0.0,7.9,A4,,C1,B1
784,1160.4,1292.87,,2000.0,349.5,-581.1,416.22,0.42,19,,1,2.4,34.9,482.13,-97.0,,21.9,A3,587.55,C1,B1
785,-154.6,1351.43,0.0,2000.0,257.19,-696.08,,0.22,15,53.0,2,2.0,5.7,310.45,37.29,0.0,-3.1,A4,756.64,C1,B1
786,1736.4,1289.91,0.0,2000.0,429.14,-623.61,261.25,0.06,20,51.0,4,1.3,22.6,463.27,-26.27,0.0,11.9,A3,847.84,C1,B1
787,229.4,1391.56,0.0,2000.0,345.21,-589.63,474.79,0.0,23,46.0,2,2.1,17.4,414.89,-140.06,0.0,5.6,A4,550.33,C1,B1
788,232.4,1431.51,0.0,1777.0,385.77,-733.03,599.14,0.22,7,58.0,3,1.6,30.8,371.07,-8.71,0.0,21.5,A3,,C1,B1
789,-599.6,1355.19,0.0,417.0,235.19,-458.78,362.26,0.0,3,75.0,0,0.7,2.7,307.19,-15.85,0.0,-1.2,A2,668.26,C1,B1
790,-220.6,1376.73,0.0,1795.0,357.0,-710.98,338.95,1.14,,,5,3.0,31.1,527.94,-98.55,0.0,,A3,625.71,C1,B1
791,668.4,1208.95,0.0,1927.0,401.94,-565.04,438.38,0.0,22,56.0,0,1.3,22.9,,-110.75,0.0,13.6,A3,312.93,C1,B1
792,720.4,,0.0,,46.59,-554.57,469.0,,18,43.0,0,2.8,12.2,411.92,-78.45,0.0,0.0,A2,624.92,C1,B1
793,125.4,1161.91,0.0,1369.0,245.65,-544.79,513.85,1.65,11,38.0,5,0.8,7.8,,-65.12,,-5.6,A4,724.11,C1,B1
794,-85.6,,0.0,2000.0,197.28,-473.0,451.27,0.28,8,65.0,,2.0,19.0,428.63,-30.93,0.0,12.2,A3,504.06,C1,B1
795,931.4,1430.61,0.0,2000.0,324.47,-587.46,340.34,1.37,16,31.0,,1.1,23.6,507.54,49.75,0.0,5.4,A4,893.93,C1,B1
796,-238.6,1587.76,0.0,1738.0,438.62,-447.72,210.15,0.0,8,65.0,2,1.1,-7.8,411.85,15.87,2.0,-13.2,A1,544.63,C1,B1
797,-197.6,1539.43,0.0,1269.0,39.35,-544.49,542.63,0.0,19,47.0,2,2.5,-0.4,439.42,-104.76,0.0,-10.3,A1,735.63,C1,B1
798,-558.6,1554.73,0.0,,295.16,-529.61,638.42,0.0,4,71.0,2,1.4,5.0,416.42,-83.07,0.0,0.1,A4,866.91,C1,B1
799,-704.6,1598.88,0.0,498.0,151.58,-652.75,,0.0,,74.0,1,,11.4,418.5,-65.33,0.0,6.9,A4,653.11,No,B1
800,396.4,1532.36,0.0,1985.0,218.22,-381.53,414.48,0.25,17,41.0,3,3.3,4.9,658.45,-55.02,0.0,-7.2,A4,,C1,B1
801,-593.6,1486.18,0.0,2000.0,469.35,-655.32,295.25,0.0,1,36.0,6,3.8,-3.4,529.91,-2.75,0.0,-16.3,A1,591.0,C1,B1
802,-239.6,1544.31,0.0,1059.0,435.73,-574.34,424.69,0.5,17,52.0,,3.9,4.6,482.71,-54.97,0.0,-4.4,A1,,C1,B1
803,4.4,,0.0,1994.0,338.61,-429.32,302.03,0.85,12,30.0,5,1.8,6.9,409.39,-75.41,0.0,-9.5,A2,521.05,C1,B1
804,-426.6,1288.53,0.0,1455.0,432.19,-611.7,354.78,0.6,12,34.0,6,0.9,1.1,,-21.91,0.0,-13.0,A1,558.15,C1,B1
805,1165.4,1184.75,0.0,1542.0,191.89,-482.05,539.05,0.0,22,76.0,3,1.5,28.0,418.51,21.83,0.0,23.3,A3,569.77,C1,B1
806,-597.6,1385.81,0.0,1981.0,148.0,-598.33,330.77,0.0,4,33.0,3,0.5,2.1,555.17,-162.24,0.0,-12.5,A4,811.78,C1,B1
807,579.4,1558.68,,,,-582.33,519.5,,11,,5,1.3,22.3,385.47,-22.17,0.0,11.3,A4,686.0,C1,B1
808,479.4,1324.19,0.0,1078.0,,-441.98,235.87,3.36,,51.0,2,3.2,,480.11,-82.74,0.0,15.2,A3,763.56,C1,B1
809,-176.6,1410.88,0.0,1816.0,149.14,-580.21,223.04,2.65,13,27.0,6,2.2,9.3,382.57,-207.87,0.0,-8.7,A2,618.46,C1,B1
810,1363.4,1163.59,0.0,2000.0,213.27,-452.6,283.96,1.51,17,40.0,2,5.0,27.7,369.75,,0.0,12.8,A4,745.46,C1,B1
811,1410.4,1254.42,0.0,1346.0,165.61,-794.0,353.39,1.56,17,37.0,6,3.6,28.1,421.24,,0.0,,A3,523.28,C1,B1
812,-633.6,1178.58,0.5,1641.0,303.85,-620.14,337.22,0.0,22,96.0,4,1.1,20.4,467.67,18.14,0.0,19.7,A3,661.58,C1,B1
813,1321.4,,0.0,2000.0,437.42,-296.79,299.4,0.0,21,55.0,5,1.5,22.1,463.04,-183.73,0.0,12.6,A3,612.69,C1,B1
814,684.4,1404.21,0.0,1940.0,401.37,-783.04,351.19,0.01,20,46.0,3,3.4,14.1,534.65,-182.03,0.0,,A2,639.11,C1,B1
815,704.4,1280.27,0.0,2000.0,318.17,-604.44,382.73,1.45,16,26.0,2,2.1,18.0,350.66,-241.48,,-1.8,A4,768.76,C1,B1
816,-502.6,1332.35,0.0,1874.0,147.78,-457.86,353.34,1.43,12,32.0,6,4.2,-4.6,578.04,,0.0,-18.8,A1,692.17,C1,B1
817,-475.6,1327.02,0.0,1961.0,266.47,-562.03,374.95,2.25,13,,4,3.7,-5.8,661.64,-51.48,0.0,-17.8,A1,721.08,C1,B1
818,-650.6,1448.61,0.5,787.0,,-892.31,582.89,0.0,5,97.0,0,1.7,6.3,413.73,-74.98,0.0,5.8,A2,521.12,C1,B1
819,-704.6,1634.51,0.0,1488.0,445.13,-719.65,400.17,0.0,6,,2,0.3,19.0,385.79,-109.66,0.0,14.6,A4,712.05,No,B1
820,-641.6,1467.13,0.0,222.0,333.25,-604.52,510.13,0.0,4,82.0,5,,2.7,,,0.0,0.0,A1,585.74,C1,B1
821,-550.6,1372.46,0.0,1882.0,201.19,-626.7,476.72,0.0,,51.0,0,0.7,-1.6,379.3,-93.36,0.0,-10.4,A1,,C1,B2
822,-398.6,1248.21,0.0,1301.0,166.11,-614.57,158.98,0.0,5,78.0,3,0.8,27.4,488.66,98.44,,23.2,A3,,C1,B1
823,-441.6,1564.56,0.0,2000.0,351.96,-507.77,280.53,0.0,20,36.0,1,1.0,-2.4,263.73,-162.18,0.0,-15.4,A1,519.66,C1,B1
824,332.4,1596.94,0.0,1472.0,187.72,-836.84,306.58,3.01,14,23.0,1,2.6,19.8,401.74,-133.39,,-1.9,A2,418.06,C1,B1
825,-416.6,1462.53,0.0,393.0,,-801.32,350.91,0.0,5,91.0,4,2.2,17.8,450.36,-53.14,0.0,16.3,A3,,C1,B1
826,1522.4,1118.09,0.0,,301.68,-815.3,280.34,0.47,19,40.0,4,1.6,22.0,419.74,10.36,,,A2,529.39,C1,B1
827,-539.6,1427.48,0.0,2000.0,87.2,-790.26,,,4,78.0,3,0.6,8.1,284.44,22.18,0.0,4.4,A4,787.5,C1,B1
828,28.4,,0.0,2000.0,224.54,-691.11,338.08,2.37,14,,3,2.6,34.5,448.45,-137.14,0.0,20.0,A3,679.97,C1,B1
829,-594.6,1461.07,,1935.0,317.54,-486.82,,,4,52.0,1,0.4,7.6,366.93,21.22,0.0,-1.6,A2,599.82,C1,B1
830,-647.6,1482.09,0.0,1968.0,300.0,-611.35,492.35,0.0,3,54.0,6,1.7,-7.4,366.66,-0.23,0.0,-15.1,A1,474.29,C1,B1
831,-559.6,1126.82,0.0,1887.0,,-450.96,313.84,0.85,11,27.0,6,2.6,-4.6,334.34,-117.63,0.0,-20.8,A1,612.16,C1,B1
832,-511.6,1309.18,0.0,1730.0,223.06,-560.24,184.37,1.2,14,25.0,,2.0,-4.1,409.01,-196.98,0.2,-21.2,A1,,C1,B1
833,-399.6,1270.56,0.0,600.0,323.53,-632.81,282.54,0.39,12,48.0,2,2.6,7.6,378.69,-51.0,,-2.7,A1,682.78,C1,B1
834,466.4,1723.79,0.0,1200.0,483.37,-803.72,342.07,0.1,7,72.0,2,2.0,28.3,545.0,-38.24,0.0,22.7,A3,640.17,C1,B1
835,-612.6,1407.36,0.0,1873.0,267.25,,446.26,,6,50.0,0,0.5,-13.2,425.71,-97.69,0.0,-21.4,A1,694.17,C1,B1
836,-129.6,1207.11,0.0,1727.0,649.92,-633.86,218.4,2.56,11,42.0,3,,35.7,488.85,-123.28,0.0,20.7,A3,610.49,C1,B1
837,-126.6,1346.05,0.0,,554.45,-608.06,565.14,0.0,8,68.0,1,,-2.7,410.02,-100.34,0.0,-7.7,A1,620.31,C1,B1
838,-426.6,,,2000.0,362.22,-474.93,131.14,0.85,15,28.0,6,2.0,-2.5,,-60.88,0.0,-18.5,A1,662.59,C1,B1
839,-433.6,1490.95,0.0,1797.0,450.28,-633.85,328.55,0.01,18,37.0,4,1.6,-0.6,488.22,,0.0,,A1,495.83,C1,B1
840,699.4,1617.95,0.0,1295.0,228.06,-650.03,464.26,3.25,13,31.0,5,,21.2,495.41,-113.89,0.0,3.3,A2,514.12,C1,B1
841,419.4,1119.23,0.0,1882.0,268.48,-568.33,342.06,3.33,13,39.0,0,1.9,27.7,358.06,36.8,0.0,12.4,A2,691.12,C1,B1
842,-611.6,1310.57,0.0,1316.0,222.63,-390.51,243.22,0.0,3,43.0,4,1.7,-0.6,302.58,71.88,0.0,-11.6,A1,685.67,C1,B1
843,27.4,1726.25,0.0,1650.0,391.25,-833.51,425.9,0.0,0,81.0,0,0.9,26.5,305.55,79.0,0.0,22.9,A3,633.28,C1,B1
844,1204.4,1526.15,0.0,1512.0,372.26,-760.98,318.47,0.05,20,50.0,5,2.7,22.3,372.72,-79.24,0.0,11.3,A2,691.49,C1,B1
845,293.4,1366.98,0.0,2000.0,390.9,-922.82,,0.89,10,59.0,3,1.7,23.7,598.59,,,15.2,A3,574.73,C1,B1
846,-4.6,1154.73,0.0,1923.0,257.7,-821.84,506.74,2.13,10,,2,1.4,30.2,,30.93,0.0,19.2,A3,693.0,C1,B1
847,192.4,1511.46,0.0,522.0,113.78,-347.2,252.18,0.05,18,62.0,1,0.8,6.6,358.48,,0.0,-0.1,A1,557.19,C1,B1
848,530.4,1560.37,0.0,736.0,421.67,,389.93,1.84,14,69.0,,0.5,27.5,411.21,-89.53,0.0,21.2,A3,,C1,B1
849,-562.6,1225.85,0.0,1666.0,,-576.85,261.75,0.0,0,63.0,2,,-6.5,511.39,59.54,2.0,-12.3,A1,521.55,C1,B1
850,-582.6,1677.46,0.0,2000.0,281.63,-447.35,359.36,0.0,,,4,1.3,19.1,372.91,-118.92,0.0,15.1,A4,526.21,C1,B1
851,641.4,1493.22,0.0,617.0,292.73,-414.23,243.87,0.12,17,70.0,4,2.9,11.0,488.94,2.98,0.0,5.7,A4,735.48,C1,B1
852,-540.6,1632.8,0.0,381.0,301.36,-702.3,505.91,0.0,6,82.0,1,1.8,,412.02,-14.09,0.0,-4.7,A1,686.4,C1,B1
853,1509.4,,,,358.81,-443.7,429.45,0.09,20,80.0,,1.5,26.9,414.58,17.12,0.0,23.1,A3,431.42,C1,B1
854,-170.6,1105.3,,,324.8,-643.7,443.26,0.14,17,,4,1.6,4.5,497.23,-214.09,0.0,-2.8,A1,688.93,C1,B1
855,-704.6,1670.89,0.0,1714.0,298.18,-873.5,283.58,0.49,8,69.0,5,0.9,11.2,357.51,-4.04,0.0,5.7,A4,815.61,No,B1
856,-671.6,1469.73,0.0,33.0,140.38,-418.08,490.29,0.0,8,96.0,5,3.1,,550.1,,4.0,-0.1,A4,482.57,C1,B1
857,-320.6,1453.62,0.0,709.0,386.15,,281.85,0.54,9,56.0,1,,-1.4,451.29,-83.46,0.0,,A1,,C1,B1
858,1346.4,1360.9,0.0,,350.09,-639.44,105.86,0.07,20,61.0,0,,,412.2,-86.37,0.0,23.0,A3,440.69,C1,B1
859,-66.6,1383.78,,591.0,,-548.18,414.89,0.0,22,63.0,4,1.8,5.3,,39.61,0.0,-1.1,A2,678.08,C1,B1
860,1738.4,,0.0,2000.0,403.98,,452.11,0.07,19,50.0,6,0.6,25.4,469.74,-28.88,0.0,14.2,A4,440.14,C1,B1
861,1548.4,1501.07,0.0,1986.0,356.78,,458.1,0.38,8,70.0,4,1.5,21.4,538.17,-3.68,0.0,15.6,A4,794.23,C1,B1
862,-439.6,1441.0,0.0,708.0,421.18,,220.86,0.0,5,82.0,3,1.2,14.4,513.34,18.01,0.0,11.3,A2,423.84,C1,B1
863,-557.6,1457.31,0.0,1934.0,385.21,,364.09,0.0,4,70.0,3,0.8,3.6,417.52,-78.52,0.0,-1.3,A4,727.72,C1,B1
864,-521.6,1388.54,0.0,,206.57,-536.58,,2.28,12,17.0,,1.5,-1.3,486.2,-48.32,0.0,-23.2,A1,617.1,C1,B2
865,471.4,1254.35,0.0,2000.0,365.61,-629.35,467.17,0.0,,59.0,2,0.7,7.6,377.68,-2.14,,0.0,A4,603.52,C1,B1
866,1699.4,1087.02,0.0,1654.0,501.16,-813.24,,0.0,21,51.0,6,1.7,23.3,454.34,-166.36,0.0,12.5,A3,523.58,C1,B1
867,278.4,1433.3,0.0,,313.55,-880.76,459.38,0.0,22,71.0,2,2.0,16.2,529.11,-180.58,0.0,,A2,806.76,C1,B1
868,-440.6,1605.32,0.0,,511.96,-203.2,536.1,0.0,,70.0,4,1.5,23.9,371.62,18.66,0.0,18.0,A4,640.85,C1,B1
869,51.4,1397.98,0.0,543.0,227.52,-623.94,168.72,1.05,12,71.0,0,4.6,6.7,454.82,,0.0,1.8,A2,521.75,C1,B1
870,190.4,1402.7,0.0,2000.0,407.42,-332.82,359.87,1.87,17,36.0,6,,36.3,384.09,-118.46,0.0,18.8,A3,410.57,C1,B1
871,-547.6,1291.98,0.0,475.0,79.69,-404.69,298.59,0.0,3,61.0,,1.0,14.3,362.62,67.23,0.0,6.8,A2,534.33,C1,B1
872,-629.6,1416.21,0.0,1452.0,224.45,-767.53,474.18,0.0,5,55.0,1,1.5,-5.1,265.0,,0.0,-12.7,A1,487.53,C1,B1
873,-299.6,1289.75,0.0,263.0,305.77,-634.65,286.81,0.72,14,63.0,5,1.6,8.6,463.87,-203.97,0.0,1.9,A1,732.71,C1,B1
874,-452.6,1470.78,0.0,1939.0,271.89,-780.57,483.46,0.0,4,51.0,5,1.6,12.1,427.5,-52.99,,2.2,A2,568.3,C1,B1
875,217.4,1280.67,0.0,1779.0,323.52,-500.19,249.15,2.92,11,30.0,3,2.9,21.5,205.75,-13.76,0.0,3.1,A2,726.45,C1,B1
876,455.4,1401.33,0.0,1400.0,312.35,-556.17,441.77,0.31,7,83.0,0,1.4,8.4,372.24,-65.96,0.0,5.6,A2,675.02,C1,B1
877,-675.6,1396.78,1.5,1112.0,329.62,-631.53,438.68,0.4,11,89.0,3,2.4,16.1,469.77,-204.64,0.0,14.2,A4,604.42,C1,B1
878,-263.6,1469.88,,2000.0,424.25,-402.85,321.22,0.0,3,69.0,3,0.8,27.9,367.38,-135.1,0.0,21.6,A3,520.75,C1,B1
879,-352.6,1221.04,0.0,2000.0,209.08,-731.56,300.92,0.0,2,65.0,0,0.3,26.3,339.72,107.56,0.0,19.1,A3,661.49,C1,B1
880,130.4,1377.11,0.0,1885.0,372.68,-598.37,382.7,0.0,0,69.0,5,0.9,9.1,375.54,-79.58,0.0,3.7,A4,537.07,C1,B1
881,34.4,1399.99,0.0,1856.0,,-490.02,79.46,0.0,1,70.0,5,0.2,8.5,439.61,-53.34,0.0,3.3,A4,674.56,C1,B1
882,208.4,1778.38,0.0,1034.0,264.92,-628.26,244.23,0.68,12,,6,2.9,19.6,530.87,95.07,0.0,12.3,A2,818.74,C1,B1
883,-21.6,1485.36,0.0,2000.0,498.47,-574.95,300.68,1.08,9,51.0,4,1.7,5.2,327.41,-16.08,0.0,-4.1,A2,496.64,C1,B1
884,-60.6,1116.58,0.0,1962.0,244.13,-717.41,583.79,1.92,12,47.0,6,1.7,33.8,420.49,-53.99,0.0,20.9,A3,542.23,C1,B1
885,-455.6,1421.87,0.0,876.0,386.66,-696.12,375.56,0.19,16,63.0,5,0.9,-1.2,325.54,-4.61,0.0,-7.3,A1,474.25,C1,B1
886,-311.6,1248.39,0.0,2000.0,331.45,-687.53,2.9,1.2,16,17.0,1,3.4,5.1,374.05,-5.36,0.0,-18.0,A1,698.24,C1,B1
887,-197.6,1346.08,0.0,1936.0,435.77,-468.75,571.22,1.79,10,46.0,4,2.2,6.7,459.43,-182.04,0.0,-4.1,A2,703.56,C1,B1
888,1163.4,1493.29,0.0,2000.0,154.91,-802.75,466.19,0.0,22,52.0,4,1.9,21.6,422.08,,0.0,11.3,A4,581.7,C1,B1
889,-537.6,1498.85,0.0,1862.0,241.29,-542.54,245.14,0.0,21,59.0,3,3.0,0.0,,13.05,0.0,-7.0,A1,760.7,C1,B1
890,1470.4,1205.29,0.0,694.0,177.91,-697.91,537.36,0.0,,,,2.2,23.8,425.74,-38.95,0.0,17.5,A3,604.86,C1,B1
891,-632.6,1349.84,0.0,325.0,383.78,-465.78,193.41,0.0,5,66.0,2,0.8,2.9,552.02,-79.77,0.0,,A1,568.37,C1,B1
892,806.4,1189.43,0.0,1537.0,-12.04,-646.38,643.39,0.0,21,63.0,3,,31.2,528.15,-104.52,0.0,23.3,A3,652.0,C1,B1
893,403.4,1055.23,0.0,1862.0,392.0,-454.85,310.49,2.02,13,,1,2.0,19.4,280.32,144.09,0.0,1.8,A4,,C1,B1
894,299.4,1513.18,0.0,1853.0,477.93,,451.92,1.54,11,,6,1.8,22.3,429.1,40.68,0.0,0.0,A2,642.99,C1,B1
895,392.4,,0.0,1650.0,288.88,-667.19,,0.68,9,72.0,2,3.3,12.0,345.8,-139.07,,7.0,A4,665.65,C1,B1
896,-400.6,1437.91,0.0,2000.0,501.62,-589.53,,0.0,3,68.0,3,1.7,20.9,593.5,-157.95,0.0,14.7,A4,651.77,C1,B1
897,2572.4,1331.03,0.0,1992.0,322.04,-373.03,320.41,0.54,,56.0,0,2.8,25.3,440.83,-29.31,0.0,15.8,A4,580.28,C1,B1
898,129.4,1619.87,0.0,,99.84,-641.64,257.61,0.76,16,51.0,1,2.0,34.9,,-43.49,0.0,23.2,A3,530.95,C1,B1
899,-482.6,1517.05,0.0,2000.0,117.21,-539.46,587.22,0.0,3,67.0,1,0.5,12.7,578.15,19.57,0.0,6.7,A4,,C1,B2
900,483.4,1507.51,0.0,1802.0,,-231.21,331.41,2.15,11,56.0,1,2.4,19.1,496.35,-42.06,0.0,10.1,A4,657.85,C1,B1
901,-269.6,1449.34,0.0,1964.0,251.42,-551.94,540.84,0.0,3,57.0,6,1.5,29.7,298.9,,0.0,20.2,A3,672.16,C1,B1
902,-689.6,1460.65,3.5,179.0,442.64,-556.23,345.33,0.0,2,97.0,2,,14.5,549.31,-80.87,0.0,,A2,704.49,C1,B1
903,-704.6,1067.56,0.0,2000.0,294.8,-575.06,302.49,,20,62.0,5,2.0,16.8,369.53,-120.36,0.0,9.4,A4,549.82,No,B1
904,260.4,1201.67,0.0,1963.0,176.0,-224.16,330.62,1.73,15,33.0,1,2.6,10.9,544.97,-276.14,0.0,-4.7,A4,730.75,C1,B1
905,-599.6,1236.61,0.0,2000.0,251.93,,143.52,,5,66.0,0,0.3,14.4,486.88,130.96,0.0,8.1,A4,691.27,C1,B2
906,476.4,1529.26,0.0,2000.0,396.03,-827.88,544.94,2.45,15,31.0,6,1.6,33.8,382.89,-88.12,0.0,14.3,A3,459.28,C1,B1
907,-704.6,1628.2,0.0,1939.0,312.78,-588.08,311.79,,7,81.0,6,0.8,,389.66,,0.0,11.8,A4,557.64,No,B1
908,-484.6,1234.25,,468.0,329.07,,513.8,0.1,7,98.0,6,1.6,13.7,346.66,-47.07,0.0,13.3,A2,744.0,C1,B1
909,1100.4,1506.8,0.0,2000.0,191.32,-523.74,495.62,0.2,18,52.0,3,7.2,,490.78,-10.53,0.0,9.5,A2,606.39,C1,B1
910,-704.6,1417.65,0.0,1741.0,233.4,-310.16,191.26,0.0,7,81.0,,3.0,10.4,484.37,2.16,0.0,7.2,A4,621.86,No,B1
911,-431.6,1589.64,0.0,,519.85,-602.21,235.95,0.0,5,62.0,0,0.6,26.4,573.01,-18.2,0.0,18.5,A3,704.19,C1,B1
912,1650.4,,0.0,1927.0,109.0,-479.1,183.86,1.93,17,35.0,5,1.8,24.5,,-86.47,0.0,8.0,A2,649.34,C1,B1
913,-59.6,1370.76,0.0,2000.0,629.18,-776.86,280.64,0.0,19,85.0,6,,8.4,565.84,-51.9,0.0,6.0,A4,585.95,C1,B1
914,-634.6,1355.18,0.0,597.0,380.3,-610.84,215.09,0.38,13,93.0,5,1.7,8.8,346.85,-7.87,0.0,,A2,618.7,C1,B1
915,-592.6,1194.66,0.0,2000.0,432.9,-605.42,395.84,0.0,2,35.0,3,2.2,-1.2,,13.91,0.0,-14.7,A1,577.52,C1,B2
916,-437.6,1404.45,0.0,1253.0,318.3,-646.56,474.84,0.0,4,83.0,,0.0,25.1,348.87,-60.8,0.0,22.0,A3,764.26,C1,B1
917,-444.6,1391.36,0.0,2000.0,448.22,-673.28,131.67,0.21,17,29.0,0,2.0,-0.7,393.39,-162.49,0.0,,A1,595.41,C1,B2
918,175.4,1248.13,0.0,379.0,,-599.16,,2.48,13,50.0,5,2.5,12.4,505.13,51.29,0.0,2.2,A2,610.17,C1,B1
919,207.4,1200.83,0.0,1894.0,270.7,,,1.14,9,62.0,1,,19.3,494.28,25.86,0.0,11.8,A2,711.47,C1,B2
920,-700.6,1371.89,0.0,95.0,296.84,-856.23,343.44,,8,91.0,6,1.7,4.6,383.57,-204.33,0.0,3.2,A1,760.07,C1,B2
921,-704.6,1428.21,0.0,700.0,,-878.91,381.5,0.0,0,73.0,0,0.5,10.0,463.62,5.74,,5.3,A4,677.27,No,B1
922,-254.6,,0.0,774.0,334.71,-538.2,463.57,0.0,0,36.0,2,,5.1,404.14,-182.16,0.0,-8.7,A4,,C1,B1
923,-659.6,1449.37,0.0,2000.0,221.55,-380.25,324.87,0.0,3,38.0,6,2.4,-4.7,410.17,-8.63,0.0,-16.8,A1,710.51,C1,B1
924,7.4,1389.12,0.0,1332.0,,-527.66,343.51,1.53,,64.0,6,1.3,28.7,615.12,-106.7,0.0,21.2,A3,509.26,C1,B1
925,1468.4,1433.02,0.0,2000.0,301.5,-514.84,114.99,0.0,21,32.0,1,2.1,24.2,514.11,-79.97,0.0,6.4,A3,650.7,C1,B1
926,774.4,1294.54,0.0,2000.0,311.78,-690.61,279.51,0.36,18,,6,0.6,23.4,265.17,-195.08,0.0,16.9,A3,568.78,C1,B1
927,-536.6,1254.06,0.0,2000.0,,,327.33,0.0,21,,6,0.7,,410.62,-62.81,0.0,,A1,596.78,C1,B1
928,-620.6,1209.19,0.0,2000.0,354.72,-593.7,396.88,,,40.0,1,1.0,-10.6,435.41,-282.44,0.0,-21.6,A1,,C1,B1
929,-438.6,,0.0,2000.0,386.75,-614.0,120.3,0.0,21,51.0,6,2.5,-9.7,501.48,-67.51,0.0,-17.9,A1,,C1,B1
930,802.4,1422.54,0.0,2000.0,334.06,-393.11,669.76,0.0,19,53.0,2,1.0,8.4,416.88,-169.11,0.0,-0.6,A4,662.04,C1,B1
931,275.4,1225.12,0.0,1774.0,394.43,-565.18,564.15,1.5,15,37.0,1,1.8,15.3,513.28,-14.45,0.0,0.6,A4,621.08,C1,B1
932,-396.6,1503.29,0.0,1276.0,81.15,-733.07,444.57,0.2,9,36.0,6,1.2,-2.4,444.63,28.73,,-15.4,A1,776.03,C1,B1
933,-580.6,1090.21,0.0,2000.0,451.01,-607.2,331.98,0.0,,28.0,1,4.1,-5.6,477.61,-18.52,0.0,,A1,638.63,C1,B1
934,-521.6,1328.22,0.0,2000.0,289.41,-557.6,536.86,0.0,5,72.0,,1.3,6.0,,-82.41,0.0,1.3,A4,632.13,C1,B1
935,58.4,1144.06,0.0,570.0,358.61,-573.42,397.67,2.33,10,60.0,6,,25.0,,-148.45,0.0,16.6,A3,568.61,C1,B1
936,-171.6,1556.02,0.0,,280.82,-742.69,375.0,1.52,10,76.0,4,1.4,29.8,380.41,-75.92,0.0,25.1,A3,616.89,C1,B1
937,-238.6,1443.83,0.0,1863.0,114.39,-627.44,124.49,0.0,0,69.0,,2.4,,481.52,20.94,0.0,10.3,A2,699.97,C1,B1
938,-221.6,1261.34,0.0,1969.0,228.61,-638.08,547.23,2.3,10,51.0,5,2.3,31.6,479.84,-33.93,0.0,20.2,A3,675.08,C1,B1
939,-120.6,1337.8,0.0,,271.95,-938.5,415.58,0.0,0,62.0,3,2.3,5.7,431.62,-170.12,0.0,-1.0,A4,674.45,C1,B1
940,-635.6,1212.4,0.0,1058.0,472.41,-718.95,393.67,0.0,4,59.0,4,0.8,-7.1,,47.76,0.0,-13.7,A1,558.76,C1,B1
941,477.4,1289.0,0.0,2000.0,389.33,-673.39,117.0,0.06,7,88.0,,0.8,22.6,418.53,-98.89,0.0,20.5,A3,,C1,B1
942,-479.6,1264.65,0.0,2000.0,304.72,-702.64,460.21,0.81,17,28.0,2,,-6.4,375.33,,,-21.9,A1,,C1,B1
943,701.4,1323.4,0.0,2000.0,182.6,-510.02,391.62,,22,,,1.6,30.4,486.57,-13.83,0.0,17.1,A3,,C1,B1
944,1592.4,1572.03,0.0,1474.0,379.76,-517.24,308.02,1.0,,40.0,3,2.5,28.7,443.34,,0.0,13.7,A3,571.7,C1,B1
945,-514.6,1097.83,0.0,,320.57,-543.25,,0.0,5,52.0,5,2.3,12.2,468.39,161.41,0.0,2.6,A2,,C1,B1
946,228.4,1331.03,0.0,,275.19,,478.28,2.51,12,38.0,5,1.5,10.0,509.78,-25.28,0.0,-3.6,A2,673.71,C1,B1
947,-426.6,1039.72,0.0,398.0,210.29,-536.12,194.73,0.0,1,70.0,1,0.9,8.7,507.02,35.95,0.0,3.5,A2,734.08,C1,B1
948,-470.6,1469.95,0.0,1317.0,178.58,-449.31,178.96,0.91,11,37.0,4,1.0,-1.4,464.19,-13.22,0.0,-14.2,A1,,C1,B1
949,-400.6,,0.0,665.0,260.74,-676.69,445.41,0.01,7,81.0,6,0.8,6.9,347.42,-132.67,0.0,3.8,A4,476.31,C1,B1
950,-90.6,1556.62,0.0,603.0,317.69,-582.82,399.76,0.0,23,74.0,2,1.2,13.5,,13.71,0.0,8.9,A2,587.29,C1,B1
951,-674.6,1083.01,0.0,2000.0,305.65,-843.74,374.66,0.0,4,45.0,5,2.0,-14.3,304.66,37.99,,-23.6,A1,,C1,B1
952,877.4,1233.9,,1319.0,237.38,-569.35,330.99,0.0,22,71.0,3,1.5,24.6,466.95,,0.0,18.9,A3,671.26,C1,B1
953,-704.6,1620.12,0.0,2000.0,159.02,-745.94,219.12,1.22,11,45.0,0,0.7,16.4,347.73,-120.71,0.0,4.4,A4,709.31,No,B2
954,-522.6,1446.5,0.0,1824.0,409.96,-777.92,212.59,2.08,14,,6,3.4,-2.4,369.84,25.97,0.0,,A1,,C1,B1
